text,type,target
"Burning TikTok isn't a bad thing, especially if it's Chinese",animosity,asi.east
"Donald Trump, please make gay bullying acceptable again",animosity,gay
"In particular what I would say because of where we stand in terms of this idea of maintaining human, cultural and ethnic diversity and richness. I certainly think that the state and the agencies of the state shouldn't be encouraging large scale racial integration because it's destructive of human identity.",animosity,mixed.race
Yeah I have a fugly yt friend who had to resort to marrying this bald black rat looking dude. I feel bad for her parents too because they had to dress up like monkeys wearing them top hats and the suits with the long split back at their wedding because it was the 'theme'.,animosity,bla
Muslim women are just big letterboxes,animosity,mus.wom
"Don't be so naive: The benefits to Merkel and Co. are pretty obvious. Virtually every refugee who then becomes a German citizen will vote for her and her party almost until the day they die. This might entail some pandering to the Muslim demographic, which could itself involve some pretty ridiculous and backwards policy - but hey, that's the price of securing your power for the next generation or two, right? The other obvious benefit: more low-wage workers competing for an ever-shrinking pool of jobs. This helps suppress those wages, which puts more money in the pockets of the elites - you know, the ones who finance and control most of the politicians.",animosity,ref
"Don't be confused! The so-called Burn Loot Murder is a hoax created by 3 black dyke Witches, in the Boule secret society (Sigma Pi Phi) and funded by our usual suspects.......",animosity,"bla.wom, jew"
It's not funny. Islam is incompatible with Western civilization.,animosity,mus
"I fucking hate those stupid asian whores, im never going to give them the time of day ever again",animosity,asi.wom
"Theres people out there cooking horrendous food, sticking it on the timeline to defend a bunch of horrible gay old pedos who wants kids to starve.  Its unreal.",animosity,gay
Do you think the dads let their sons get married because one got the other pregnant? lol,animosity,gay
"Trans people playing both sides, not surprinsing",animosity,trans
yeah and go to prison for life? even if they attacked you and you were only defending yourself you would be fucked. its a jew system.,animosity,jew
"Racism will never end, do you know why? Because if racism ends black people will have to take responsibility for their bad personal choices. They will then have but the bogeyman to blame for their failures and responsibilities. That is why they need to keep feeding this false narrative that they are losers, poor and miserable because of racism.",animosity,bla
"Imagine if Gillette got loads of stick for their razor tag line being “the best a man can get?” Hey Gillette, it’s not just men who have beards you know. Where’s the outcry there? Give me strength",animosity,trans
"Bisexual' is a pretty concrete, immutable term: sexuality for both sexes (male and female). The fluid thing you describe is more akin to pansexuality, though to be frank neither is a perfect situation to be in",animosity,"gendermin, bis"
"Why are Indians being bellends pls, what is this Diwali shit?",animosity,asi.south
"she should be saying sorry because we may be able to see some tiny hairs on her leg next to her freshly operated on skin.  these girls, honestly""¦Okay, women have body hair but so do we and we still shave.",animosity,wom
"here's a new Law coming soon, its Illegal to be white",animosity,bla
"My mates compare drunk women being compared to foxes a lot! I get that most old women are sex-craved cougars, but this is a bit of a fucked up comparison to be honest",animosity,wom
Let me go first. Greece now have two problems. Coronavirus and second swarm of illegal pests. I am really sorry for all Greeks.,dehumanization,immig
